Date,Time,InstructorName,Minutes,Activity Type,Class,Title,TotalOutput,AvgWatts,AvgResistance,AvgCadence,AvgSpeed,Distance,Calories,AvgHR
3/4/2020  5,:49:00 PM,Denis Morton,20,Cycling,Power Zone,20 min FTP Test Ride,178,149,0.48,74,19.04,6.34,195,144.78
3/4/2020  6,:13:00 PM,Denis Morton,20,Cycling,Low Impact,20 min Low Impact Ride,107,89,0.36,83,15.31,5.1,147,123.83
3/5/2020  5,:57:00 PM,Jenn Sherman,30,Cycling,Low Impact,30 min Low Impact Ride,179,99,0.39,77,15.99,7.99,183,112.87
3/6/2020  2,:49:00 PM,Olivia Amato,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,187,104,0.37,87,16.43,8.21,226,125.51
3/6/2020  3,:19:00 PM,Olivia Amato,5,Cycling,Low Impact,5 min Cool Down Ride,22,74,0.31,89,14.26,1.18,32,115.04
3/7/2020  1,2:24:00 PM,Ben Alldis,15,Cycling,Low Impact,15 min Low Impact Ride,80,89,0.37,81,15.36,3.84,91,112.01
3/7/2020  1,2:41:00 PM,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,193,107,0.39,83,16.62,8.3,219,123.42
3/7/2020  1,:12:00 PM,Ben Alldis,15,Cycling,Low Impact,15 min Low Impact Ride,81,90,0.36,84,15.46,3.86,97,116.11
3/8/2020  2,:18:00 PM,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,43,72,0.34,80,13.97,2.32,48,101.23
3/8/2020  2,:30:00 PM,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Ride,210,117,0.38,88,17.05,8.52,247,131.35
3/8/2020  3,:01:00 PM,Robin Arzon,20,Cycling,Low Impact,20 min Low Impact Ride,113,95,0.36,85,15.74,5.24,130,116.54
3/9/2020  5,:22:00 PM,Denis Morton,30,Cycling,Low Impact,30 min Low Impact Ride,171,95,0.4,75,15.85,7.92,164,107.22
3/9/2020  5,:53:00 PM,Jenn Sherman,5,Cycling,Low Impact,5 min Cool Down Ride,28,95,0.38,80,15.77,1.31,26,104.08
3/10/20 0:00,5:11:00 PM,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,277,103,0.38,83,16.18,12.13,315,120.77
3/10/20 0:00,5:57:00 PM,Denis Morton,20,Cycling,Low Impact,20 min Low Impact Ride,86,72,0.35,75,13.69,4.56,103,104.88
3/11/20 0:00,6:11:00 PM,Emma Lovewell,30,Cycling,Low Impact,30 min Low Impact Ride,174,97,0.39,78,15.94,7.97,190,115
3/13/20 0:00,2:48:00 PM,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,67,75,0.36,74,14.1,3.52,77,104.61
3/13/20 0:00,3:04:00 PM,Olivia Amato,30,Cycling,Power Zone,30 min Power Zone Ride,201,112,0.41,79,16.8,8.39,225,125.1
3/13/20 0:00,3:36:00 PM,Leanne Hainsby,15,Cycling,Low Impact,15 min Low Impact Ride,86,96,0.39,76,15.8,3.95,100,117.76
3/14/20 0:00,5:52:00 PM,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,178,99,0.37,86,16.02,8.01,206,113.6
3/14/20 0:00,6:24:00 PM,Hannah Marie Corbin,20,Cycling,Low Impact,20 min Low Impact Ride,108,90,0.39,75,15.46,5.15,118,111.21
3/15/20 0:00,3:22:00 PM,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,296,110,0.41,79,16.57,12.43,370,131.38
3/15/20 0:00,4:07:00 PM,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,24,79,0.34,82,14.57,1.21,34,119.47
3/16/20 0:00,6:29:00 PM,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,171,95,0.38,80,15.64,7.82,211,120.98
3/16/20 0:00,7:01:00 PM,Sam Yo,10,Cycling,Low Impact,10 min Low Impact Ride,51,85,0.34,86,14.92,2.48,64,115.23
3/17/20 0:00,5:09:00 PM,Robin Arzon,15,Cycling,Low Impact,15 min Warm Up Ride,76,85,0.34,87,15.01,3.75,91,112.39
3/17/20 0:00,5:26:00 PM,Olivia Amato,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,195,108,0.4,80,16.62,8.3,213,121.61
3/17/20 0:00,5:57:00 PM,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,69,76,0.34,81,14.38,3.59,84,108.7
3/18/20 0:00,1:25:00 PM,Christine D'Ercole,15,Cycling,Low Impact,15 min Low Impact Ride,80,89,0.34,89,15.35,3.83,108,122.4
3/18/20 0:00,1:41:00 PM,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Ride,193,107,0.37,86,16.35,8.17,274,139.33
